Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1uF,C15849
"C12, C13, C2, C3, C5, C8, C9",0603,7,100nF,C14663
"C14, C15, C16, C17",1206,4,47uF,C96123
"C19, C4",0603,2,10uF,C19702
"C6, C7",0805,2,10uF,C440198
D1,D_SMB,1,SMBJ16CA,C113990
D2,D_SOD-323,1,BZT52C10S,C19077446
"D3, D5",D_SOD-123F,2,SMF6.5CA,C19077501
D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B-HS01/W,C22371521
F1,1206,1,JK-nSMD100/16V,C2830246
J1,MX128-2.54-02P,1,MX128-2.54-02P,C5188442
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,TYPE-C 16PIN 2MD(073),C2765186
J4,MX128-2.54-04P,1,MX128-2.54-04P,C5188444
"L1, L2",L_Changjiang_FXL0630,2,FXL0630-6R8-M,C167221
Q1,TSOT-23,1,AO3401A,C15127
"R1, R2",0603,2,5.1kΩ,C23186
"R10, R11, R4, R8, R9",0603,5,10kΩ,C25804
R12,0603,1,20kΩ,C4184
R13,0603,1,3.6kΩ,C22980
R14,0603,1,49.9kΩ,C23184
R15,0603,1,15kΩ,C22809
R3,0603,1,100Ω,C22775
"R5, R6",0603,2,0Ω,C21189
R7,0603,1,330Ω,C23138
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,TS-1088-AR02016,C720477
U1,SOT-23-6,1,USBLC6-2SC6,C7519
U2,SO-4_4.4x4.3mm_P2.54mm,1,ASSR-1218,C6747780
U3,LD2410C,1,LD2410C,C19723500
U4,ESP32-C6-MINI-1,1,ESP32-C3-MINI-1-N4,C2838502
U5,SOT-353_SC-70-5,1,SN74LV1T125DCK,C75925
"U6, U7",SOT-23-6,2,AP62200TWU-7,C2895288
